DATE ARRET;CDGI;QUARTIER;TYPE DE VOIE;PREFIXE de VOIE;NOM de VOIE;Libellé VOIE;CVOIE;HISTORIQUE;LARGEUR;LONG;DETAIL;ARRONDISSEMENT;STATUT PRESUME;DEBUT;FIN
1930-04-25T01:00:00+01:00;3617;Maison Blanche.;rue;;fernand widal;rue Fernand Widal;3629;"Orig. du nom. ~ Fernand Widal (1862-1929), médecin français, membre de l'Académie de Médecine et de l'Académie des Sciences.
Historique. ~ Ouverte par la Ville de Paris sur l'emplacement du bastion 88.";15.0;100.0;"Ouverture. ~ Ouverte en 1931.
Classement. ~ Arr. du 11 octobre 1932.
Numérotage. ~ Arr. du 24 juin 1931.
Dénomination. ~ Arr. du 25 avril 1930.";XIIIe;voie publique;boulevard Masséna, 131.;avenue Léon Bollée, 30.
1994-01-14T01:00:00+01:00;9994;Gare.;rue;;zadkine;rue Zadkine;9991;"Orig. du nom. ~ Ossip Zadkine, (Smolenk, 1890-Paris, 1967), sculpteur, dessinateur et graveur français d'origine russe.
Historique. ~ Voie créée dans le cadre de l'aménagement de la Zac `Chevaleret-Jeanne d'Arc`. Elle avait été provisoirement dénommée CE/13. Cette voie a englobé la totalité de l'assiette de l'impasse Duchefdelaville.";37.0;90.0;"Classement. ~ Arr. mun. du 21 janvier 1994.
Dénomination. ~ Arr. mun. du 14 janvier 1994.";XIIIe;voie publique;rue Duchefdelaville, 18.;rue Baudoin, 9.
1945-07-07T03:00:00+03:00;7256;Petit Montrouge.;rue;du;père corentin;rue du Père Corentin;7207;"Orig. du nom. ~ Le Père Corentin (1894-1944), patriote, assassiné par les Allemands le 28 juin 1944 dans son couvent de Saint-François ; voisinage de cet établissement.
Historique. ~ Précédemment rue de la Voie Verte. Elle est indiquée à l'état de sentier sur le plan de Roussel (1730).";12.0;600.0;"Classement dans la voirie parisienne. ~ Déc. du 23 mai 1863. Précédemment chemin vicinal de la commune de Montrouge.
Alignements (retenus au POS et non repris au PLU). ~ Arr. du 25 mai 1970, au droit des nos 63 à 79 et pan coupé à l'angle du boulevard Jourdan.
Nivellement. ~ Arr. du 25 mai 1970, partie A.
Numérotage. ~ Arr. du 5 décembre 1877.
Dénomination. ~ Arr. du 7 juillet 1945.";XIVe;voie publique;rue de la Tombe Issoire, 92.;boulevard Jourdan, 104.
1867-02-27T00:53:28+00:53;2513;Petit Montrouge. Plaisance.;rue;;daguerre;rue Daguerre;2505;"Orig. du nom. ~ Louis Jacques Mandé Daguerre (1787-1851), français, inventeur du daguerréotype.
Historique. ~ Précédemment rue de la Pépinière. Cette voie existait à l'état de chemin en 1730.";15.0;630.0;"Classement dans la voirie parisienne. ~ Déc. du 23 mai 1863. Précédemment voie de la commune de Montrouge.
Numérotage. ~ Arr. du 13 novembre 1880.
Dénomination. ~ Déc. du 27 février 1867.";XIVe;voie publique;avenue du Général Leclerc, 4-8.;avenue du Maine, 109.
1955-02-05T01:00:00+01:00;6085;Muette.;rue;;marietta martin;rue Marietta Martin;6006;"Orig. du nom. ~ Marietta Martin, résistante fusillée par les Allemands en 1944.
Historique. ~ Précédemment rue de la Muette.";12.0;79.0;"Ouverture. ~ Ouverte en 1906.
Classement, alignements (non retenus au POS et non repris au PLU) et nivellement. ~ Déc. du 27 août 1908.
Dénomination. ~ Arr. du 2 mai 1955.";XVIe;voie publique;rue des Vignes, 67-71.;rue du Général Aubé, 2 et rue des Bauches.
;8647;Montparnasse.;place;;saint-jacques;place Saint-Jacques;8870;"Orig. du nom. ~ La rue du Faubourg Saint-Jacques y aboutit.
Historique. ~ Précédemment place de la Barrière Saint-Jacques.";0.0;0.0;"Ouverture. ~ Cette voie existait en 1789.
Alignements (non retenus au POS et non repris au PLU). ~ Ord. du 9 décembre 1838.";XIVe;voie publique;au débouché de la rue du Faubourg Saint-Jacques sur le boulevard Saint-Jacques (côté pair).;
1996-05-12T02:00:00+02:00;6590;Plaisance.;rue;du;moulin des lapins;rue du Moulin des Lapins;6536;"Orig. du nom. ~ Ancien lieu-dit situé à proximité.
Historique. ~ Voie créée dans le cadre de l'aménagement de la Zac `Didot`. Elle avait été provisoirement dénommée AG/14.";6.0;110.0;Dénomination. ~ Arr. mun. du 5 décembre 1996.;XIVe;voie publique;rue du Château, 138.;
1926-12-10T01:00:00+01:00;7681;Petit Montrouge.;avenue;de la;porte de montrouge;avenue de la Porte de Montrouge;7655;"Orig. du nom. ~ Située en partie sur l'emplacement de l'ancienne porte de Montrouge.
Historique. ~ La partie A a été aménagée par la Ville de Paris sur l'emplacement du bastion 79. Le surplus, précédemment partie de l'avenue de la République (chemin vicinal n° 5) était situé autrefois sur le territoire de Montrouge annexé à Paris par décret du 3 avril 1925.";30.0;300.0;"Classement. ~ Arr. du 11 octobre 1932, entre le boulevard Brune et l'avenue Ernest Reyer (A).
Déclassement. ~ Arr. du 30 juin 1952, déclassant une parcelle de voie située au droit du Cimetière de Montrouge.
Alignements (non retenus au POS et non repris au PLU) et nivellement. ~ Arr. du 18 décembre 1952.
Numérotage. ~ Arr. du 1er septembre 1931, partie A. Arr. du 7 août 1934, le surplus.
Dénomination. ~ Arr. du 12 octobre 1926.";XIVe;voie publique;boulevard Brune, 126.;boulevard Romain Rolland.
;7011;Amérique.;cité;du;palais royal de belleville;cité du Palais Royal de Belleville;6924;;3.5;80.0;;XIXe;voie privée;rue des Solitaires, 38.;en impasse
2012-03-20T01:00:00+01:00;4967;Javel.;place;;jenny alpha;place Jenny Alpha;4984;Orig. du nom.~ Jenny Alpha (Fort de France (Martinique), 1910-Paris, 2010), chanteuse, comédienne et figure emblématique de la culture créole.;20.0;23.0;Délibération.~ Délib. mun. des 19 et 20 mars 2012.;XVe;statut mixte;avenue Félix Faure, 120.;avenue Félix Faure, 126.
2013-11-06T01:00:00+01:00;7185;Gare.;place;;paul ricoeur;place Paul Ricoeur;7117;"Historique.~ Voie créée dans le cadre de l'aménagement de la Zac `Paris Rive Gauche` précédemment voie FY/13. Une allée Paul Ricoeur  était antérieurement située à l' intersection du boulevard Arago, de la place de l'Ile de Sein et de la rue Leclerc.
Orig. du nom.~ Paul Ricoeur (Valence, 1913-Châtenay-Malabry, 2005), philosophe de grande renommée. Il a enseigné pendant 10 ans à la Faculté protestante située 83, boulevard Arago.";21.0;27.0;Dénomination.~ Délib. mun. du 10 et 11 juin 2013.;XIIIe;voie privée destinée à devenir publique;rue Albert Einstein, 8.;rue Jean Antoine de Baïf, 29.
2013-12-18T01:00:00+01:00;5709;Picpus.;place;;lise et artur london;place Lise et Artur London;5678;Orig du nom.~ Elizabeth Ricol (Montceau-les-Mînes, 1916-Paris, 2012) et Artur London (Ostrava (Tchécoslovaquie), 1915-Paris, 1986) militants communistes et résistants.;0.0;0.0;Dénomination.~ Délib. mun. du 16, 17 et 18 décembre 2013.;XIIe;voie publique;intersection du boulevard Poniatowski, de l'avenue de la Porte de Charenton et de la rue Ferdinand de Béhagle.;
;X636;Goutte d'Or.;voie;;cv/18;voie CV/18;X019;;12.0;81.0;;XVIIIe;voie privée destinée à devenir publique;voie CP/18, 31.;voie CQ/18, 32.
2016-12-12T01:00:00+01:00;4154;Jardin des Plantes.;place;;georges moustaki;place Georges Moustaki;3936;Orig. Du nom. ~ Georges Moustaki (Alexandrie - Egypte, 1934-Nice, 2013), poète, auteur, chanteur, compositeur, et interprète.;0.0;0.0;Dénomination.~ Délib. Mun. Du 12, 13, 14 et 15 décembre 2016.;Ve;voie publique;à l'intersection des rues Censier, Mouffetard, de Bazeilles, Pascal.;
2017-09-05T02:00:00+02:00;;Batignolles.;parvis;du;tribunal de paris;parvis du Tribunal de Paris;Y994;"Historique.~ Voie projetée dans le cadre de l'aménagement de la ZAC `Clichy-Batignolles`, précédemment identifiée voie CM/17.
Orig. Du nom. ~ parvis situé au droit du futur tribunal de Paris.";;;Dénomination. ~ Délib. Mun. des 9, 10 et 11 mai 2017.;XVIIe;voie privée destinée à devenir publique;à l'angle de l'avenue de la Porte de Clichy et  du boulevard de Douamont.;
1905-07-18T01:00:00+01:00;9336;Gare.;port;de;tolbiac;port de Tolbiac;9319;"Orig. du nom. ~ Voisinage de la rue de Tolbiac.
Historique. ~ Précédemment, partie du port de la Gare.";22.5;850.0;Dénomination. ~ Déc. préf. du 18 juillet 1905.;XIIIe;voie publique;pont National.;pont de Tolbiac.
1912-08-26T01:00:00+01:00;9940;Salpêtrière.;rue;des;wallons;rue des Wallons;9912;"Orig. du nom. ~ Population de culture française, habitant la moitié sud orientale de la Belgique.
Historique. ~ Ouverte par la Ville de Paris sur l'emplacement de l'ancien Marché aux Chevaux.";15.0;206.0;Dénomination. ~ Arr. du 16 juillet 1912, approuvé par décret du 26 août 1912.;XIIIe;voie publique;boulevard de l'Hôpital, 48.;rue Jules Breton.
;A898;Parc de Montsouris.;voie;;bd/14;voie BD/14;Y719;Historique. ~ Bretelle de liaison aménagée à l'occasion de la création du boulevard Périphérique.;10.0;40.0;Observation. ~ Bretelle d'accès au boulevard Périphérique extérieur sud à partir de l'avenue Pierre Masse.;XIVe;voie publique;avenue Pierre Masse.;boulevard Périphérique extérieur sud.
1894-12-28T01:00:00+01:00;6074;Petit Montrouge.;rue;;marié-davy;rue Marié-Davy;5997;Orig. du nom. ~ Edme Hippolyte Marié-Davy (1820-1893), directeur de l'Observatoire de Montsouris.;12.0;80.0;"Ouverture. ~ Ouverte en 1894.
Classement, alignements (non retenus au POS et non repris au PLU) et nivellement. ~ Arr. du 9 juin 1931.
Dénomination. ~ Arr. du 28 décembre 1894.";XIVe;voie publique;rue du Père Corentin, 38.;rue Sarrette, 31.
1873-10-11T00:53:28+00:53;4171;Plaisance.;rue;de;gergovie;rue de Gergovie;4117;"Orig. du nom. ~ Ville de Gaule, assiégée par César ; voisinage de la rue Vercingétorix.
Historique. ~ Précédemment, partie de la rue de la Procession. Cette voie est tracée sur le plan de Roussel (1730). Sur le cadastre de 1804, les parties A et B sont désignées sous le nom de chemin des Trois Cornets. La partie A a été élargie à 20 m du côté impair, lors de la suppression du passage à niveau du chemin de fer de l'Etat (déc. du 3 juin 1898).";20.0;655.0;"Classement. ~ Déc. du 23 mai 1863, parties A et B (classement dans la voirie parisienne). Ces parties avaient été classées dans la voirie de l'ancienne commune de Vaugirard par arrêtés des 26 octobre 1838 et 6 juillet 1955. Déc. du 8 décembre 1877 (UP), partie C.
Déclassement. ~ Arr. mun. du 3 janvier 1984, au droit des nos 19, 21 et 25. Délibération des 25, 26 et 27 septembre 2018 au droit du n°38, d'une surface de 5m².
Alignements (non retenus au POS et non repris au PLU) et nivellement. ~ Déc. du 3 juin 1898, au droit des nos 1 à 5. Déc. du 15 septembre 1881, au droit des nos 4 à 12. Arr. du 4 septembre 1934 : 1° côté impair, partie B, sauf au droit des nos 11 à 25 et 27 à 45 (délibération des 25, 26 et 27 septembre 2018) ; 2° côté pair, au droit des nos 22 et 24 et de la rue Decrès à la rue Raymond Losserand, sauf au droit des n° 38 à 46 (délibération des 25, 26 et 27 septembre 2018). Déc. du 8 décembre 1877 (UP), partie C, sauf le raccordement du côté impair avec la rue Didot régi par l'arrêté du 27 mai 1970. Déc. du 3 février 1894, pan coupé à l'angle de la rue du Moulin Vert, côté impair.
Alignements (non retenus au PAZ de la Zac ""Guilleminot-Vercingétorix"" et non repris au PLU) et nivellement. ~ Déc. du 15 septembre 1881, au droit des nos 14 à 20. Déc. du 3 juin 1898, au droit du n° 7. Arr. du 4 septembre 1934, au droit des nos 26 à 36 et 11 à 25. Arr. du 4 septembre 1934 (relatif à la rue Vercingétorix), pan coupé à l'angle de cette voie.
Numérotage. ~ Arr. du 16 février 1875, parties A et B. Arr. du 20 juin 1877, partie C.
Dénomination. ~ Arr. du 10 novembre 1873.";XIVe;voie publique;rue de la Procession, à la limite du XVe arrondissement.;rue Didot, 50 et rue d'Alésia, 134.
1956-03-13T01:00:00+01:00;6035;Plaisance.;avenue;;marc sangnier;avenue Marc Sangnier;5960;"Orig. du nom. ~ Marc Sangnier (1873-1950) ; journaliste et homme politique français, promoteur de la démocratie chrétienne.
Historique. ~ Ouverte par la Ville de Paris sur l'ancien territoire de Malakoff annexé à Paris par décret du 3 avril 1925.";25.0;480.0;"Ouverture. ~ Ouverte en 1956.
Dénomination. ~ Arr. du 13 mars 1956.";XIVe;voie publique;place de la Porte de Vanves.;avenue Georges Lafenestre, 14.
;8733;Saint-Ambroise.;passage;;saint-pierre amelot;passage Saint-Pierre Amelot;8956;Orig. du nom. ~ Commence rue Amelot, autrefois rue Saint-Pierre Popincourt.;3.5;275.0;Classement, alignements (non retenus au POS et non repris au PLU) et nivellement. ~ Arr. du 10 mai 1972.;XIe;voie publique;rue Amelot, 98 bis.;boulevard Voltaire, 54.
2001-01-30T01:00:00+01:00;B153;Javel.;esplanade;;andré chamson;esplanade André Chamson;B148;"Orig. du nom.~ André Chamson (Nîmes 1900 - Paris 1983), écrivain, directeur des Archives de France, membre de l'Académie Française (1956) ; ancien résistant.";40.0;42.0;Dénomination.~ Arr. mun. du 30 janvier 2001.;XVe;voie publique;rue Balard, 56.;rue Balard, 64.
;X421;Sainte-Marguerite.;voie;;n/11;voie N/11;Y421;;3.0;61.0;;XIe;voie privée;rue de Montreuil, 17.;en impasse
1932-11-01T01:00:00+01:00;0333;Parc de Montsouris.;avenue;;andré rivoire;avenue André Rivoire;0315;"Orig. du nom. ~ André Rivoire (1872-1930), poète et auteur dramatique.
Historique. ~ Ouverte par la Ville de Paris sur l'ancien territoire de Gentilly annexé à Paris par décret du 3 avril 1925. Réaménagée en 1960 lors de la construction du boulevard Périphérique.";17.0;220.0;"Déclassement. ~ Délib. du 23/11/2015, du côté pair. 
Dénomination. ~ Arr. du 11 janvier 1932.";XIVe;voie publique;avenue David Weill.;en impasse
1879-08-16T00:53:28+00:53;2691;Montparnasse. Petit Montrouge.;place;;denfert-rochereau;place Denfert-Rochereau;2703;"Orig. du nom. ~ Voir : Denfert-Rochereau (avenue).
Historique. ~ Précédemment place d'Enfer. Cette dernière place avait englobé la place de la Barrière d'Enfer, une partie des boulevards d'Enfer et Saint-Jacques et une partie des boulevards de Montrouge et d'Arcueil.
Monuments classés. ~ Aux nos 1 et 2 : pavillons de l'ancienne barrière d'Enfer.";145.0;220.0;"Ouverture. ~ Lettres patentes du 9 août 1760, pour la partie de la place qui était située à l'intérieur de l'ancien mur d'octroi. Ord. du Bureau des Finances du 16 janvier 1789, pour la partie de la place qui était située à l'extérieur de l'ancien mur d'octroi (M).
Classement dans la voirie parisienne. ~ Déc. du 23 mai 1863, partie M. Précédemment voie de l'ancienne commune de Montrouge dans cette partie.
Alignements (non retenus au POS et non repris au PLU). ~ Arr. du 3 août 1866.
Numérotage. ~ Arr. du 24 janvier 1898.
Dénomination. ~ Arr. du 16 août 1879.";XIVe;voie publique;à la rencontre des boulevards Raspail, Arago, Saint-Jacques, des avenues René Coty, du Général Leclerc, Denfert-Rochereau et de la rue Froidevaux.;
1875-10-02T00:53:28+00:53;2061;Auteuil.;rue;de;civry;rue de Civry;2058;Orig. du nom. ~ Civry, village situé près de Châteaudun, célèbre par la défense du 18 octobre 1870.;12.0;230.0;"Ouverture et alignements (non retenus au POS et non repris au PLU). ~ Arr. du 4 novembre 1869.
Dénomination. ~ Déc. du 10 février 1875.";XVIe;voie publique;boulevard Exelmans, 89.;rue de Varize, 20.
;0088;Auteuil.;rue;;agar;rue Agar;0091;"Orig. du nom. ~ Léonide Charvin, dite Agar (1836-1891), artiste dramatique ; habita longtemps Auteuil.
Historique. ~ Précédemment rue Moderne.";10.0;102.0;"Ouverture. ~ Ouverte en 1911.
Classement, alignements (non retenus au POS et non repris au PLU) et nivellement. ~ Arr. du 12 décembre 1935.
Numérotage. ~ Arr. du 6 août 1955.
Dénomination. ~ Voie dénommée en 1912.";XVIe;voie publique;rue Gros, 41.;rue Jean de La Fontaine, 19.
1933-05-04T01:00:00+01:00;3578;Auteuil.;avenue;;ferdinand buisson;avenue Ferdinand Buisson;3593;"Orig. du nom. ~ Ferdinand Edouard Buisson (1841-1932), pédagogue et homme politique français.
Historique. ~ Ouverte par la Ville de Paris sur l'ancien territoire de Boulogne-Billancourt annexé à Paris par décret du 3 avril 1925.";23.0;420.0;"Ouverture. ~ Ouverte en 1933.
Observation. ~ Le côté impair forme la limite du territoire de Boulogne-Billancourt.
Numérotage. ~ Arr. du 5 décembre 1933.
Dénomination. ~ Arr. du 5 avril 1933.";XVIe;voie publique;avenue Georges Lafont.;avenue de la Porte de Saint-Cloud.
;A863;Auteuil.;voie;;ca/16;voie CA/16;Y676;Historique. ~ Bretelle de liaison aménagée à l'occasion de la création du boulevard Périphérique.;8.0;230.0;Observation. ~ Bretelle d'entrée du boulevard Périphérique extérieur ouest à partir de l'avenue de la Porte de Saint-Cloud (Porte de Saint-Cloud).;XVIe;voie publique;avenue de la Porte de Saint-Cloud.;boulevard Périphérique extérieur ouest.
;0590;Auteuil.;boulevard;d';auteuil;boulevard d'Auteuil;Z004;"Orig. du nom. ~ Conduit à Auteuil.
Historique. ~ Située autrefois sur le territoire de Boulogne-Billancourt annexé à Paris par décret du 3 avril 1925.";20.0;240.0;;XVIe;voie privée;avenue de la Porte Molitor, et avenue du Général Sarrail.;rue Nungesser et Coli et boulevard d'Auteuil à la limite du territoire de Boulogne-Billancourt.
;2153;Villette.;rue;;clovis hugues;rue Clovis Hugues;2152;"Orig. du nom. ~ Clovis Hugues (1851-1907), littérateur et homme politique.
Historique. ~ Précédemment, passage d'Allemagne (arr. du 1er février 1877). Antérieurement passage Sauvage. Ouverte par M. Sauvage. Le tronçon compris entre l'avenue Jean Jaurès et la rue Armand Carrel, déclassé par arr. du 25 février 1964 (relatif au prolongement de la rue Armand Carrel jusqu'à l'avenue Jean Jaurès) a été supprimé.";10.0;80.0;"Ouverture. ~ Ouverte en 1835.
Classement, alignements (non retenus au POS et non repris au PLU) et nivellement. ~ Arr. du 27 avril 1956, entre les rues Armand Carrel et de Meaux.
Déclassement. ~ Délib. des 12 et 13 décembre 1988, à l'angle de la rue Armand Carrel.";XIXe;voie publique;rue Armand Carrel, 65.;rue de Meaux, 65.
1849-03-09T00:53:28+00:53;6110;Pont de Flandre.;rue;de la;marne;rue de la Marne;6028;"Orig. du nom. ~ Voisinage du quai de la Marne.
Historique. ~ Précédemment rue de Montpensier.";12.0;70.0;"Classement dans la voirie parisienne. ~ Déc. du 23 mai 1863. Précédemment voie de l'ancienne commune de la Villette.
Ouverture et alignements (non retenus au POS et non repris au PLU). ~ Déc. du Gouvernement provisoire du 12 avril 1848.
Numérotage. ~ Arr. du 16 juin 1881.
Dénomination. ~ Arr. du 3 septembre 1849.";XIXe;voie publique;rue de l'Ourcq, 24 et rue de Thionville, 17.;quai de la Marne, 28.
1868-10-08T00:53:28+00:53;6313;Combat.;rue;;meynadier;rue Meynadier;6234;"Orig. du nom. ~ Henri Louis René Meynadier (1778-1847), lieutenant-général, blessé en 1814 en défendant le quartier.
Historique. ~ Ouverte par la Ville de Paris lors de la création du parc des Buttes Chaumont.";20.0;178.0;Dénomination. ~ Déc. du 10 août 1868.;XIXe;voie publique;rue du Rhin, 27 et place Armand Carrel, 4.;rue de Crimée, 97.
1884-08-30T00:53:28+00:53;7528;Combat.;rue;du;plateau;rue du Plateau;7483;"Orig. du nom. ~ Plateau qui occupait le sommet des anciennes Buttes Chaumont.
Historique. ~ Anciennement, la rue du Plateau a porté le nom de rue des Buttes Chaumont. Un tronçon de la rue du Plateau, compris entre cette dernière voie et la rue Fessart, a pris en 1884, le nom de rue Préault.";16.0;265.0;"Ouverture. ~ Déc. du 16 octobre 1882, entre les rues Préault et Botzaris (A).
Classement. ~ Déc. du 16 octobre 1882, entre les rues des Alouettes et Préault.
Alignements (retenus au POS et non repris au PLU). ~ Déc. du 16 octobre 1882, au droit des nos 35-37. Arr. du 20 janvier 1948, au droit du n° 42.
Alignements (non retenus au POS et non repris au PLU). ~ Déc. du 16 octobre 1882, côté impair, partie A sauf au droit des nos 35-37. Arr. du 20 janvier 1948, le surplus, sauf au droit du n° 42, et pans coupés de 8 m : 1° à l'angle de la rue Préault, côté impair ; 2° côté impair, à l'angle de la rue Botzaris.
Nivellement. ~ Arr. du 20 janvier 1948.
Numérotage. ~ Arr. du 11 juillet 1883.
Dénomination. ~ Arr. du 30 août 1884, partie A.";XIXe;voie publique;rue des Alouettes, 31.;rue Botzaris, 32.
1911-03-21T01:00:00+01:00;8896;Villette. Combat.;avenue;;secrétan;avenue Secrétan;8527;"Orig. du nom. ~ Le baron Antoine Joseph Secrétan, né en 1773, colonel-major du 8e régiment des voltigeurs de la garde impériale, blessé en 1815 en défendant le quartier.
Historique. ~ Précédemment, partie de la rue Fessart entre les rues de Meaux et Manin dénommée rue Secrétant. La partie comprise entre le boulevard de la Villette et la rue de Meaux était, précédemment, comprise dans la rue de Puebla ; c'était antérieurement, la rue Drouin-Quintaine.";20.0;695.0;"Classement dans la voirie parisienne. ~ Déc. du 23 mai 1863. Précédemment voie des anciennes communes de la Villette et de Belleville.
Alignements (non retenus au POS et non repris au PLU). ~ Déc. du 6 janvier 1866, au droit du marché de la Villette. Arr. du 17 janvier 1870, entre l'avenue Simon Bolivar et la rue Manin. Arr. du 9 septembre 1957, pans coupés, de 8 m à l'angle de la rue Edouard Pailleron, côté pair et à l'angle de la rue Henri Murger, côté pair. Arr. du 11 août 1969, pans coupés, côtés pair et impair aux angles de la rue de Meaux, côté impair.
Nivellement. ~ Arr. du 17 janvier 1870, entre les rues de Meaux et Manin.
Numérotage. ~ Arr. du 5 février 1881.
Dénomination. ~ Déc. du 10 août 1868, entre les rues de Meaux et Manin. Le décret porte : Secrétant ; un arrêté préfectoral du 4 novembre 1880 a substitué à cette orthographe celle de Secrétan. Arr. du 4 novembre 1880, entre le boulevard de la Villette et la rue de Meaux (rue Secrétan). Arr. du 21 mars 1911 (avenue Secrétan).";XIXe;voie publique;place de la bataille de Stalingrad, 2, et boulevard de la Villette, 198.;rue Manin, 31, et avenue Mathurin Moreau, 63.
1935-01-21T01:00:00+01:00;4598;Combat.;rue;;henri turot;rue Henri Turot;4523;"Orig. du nom. ~ Henri Turot (1865-1920), conseiller municipal, voyageur et explorateur.
Historique. ~ Précédemment, rue Asselin.";12.0;185.0;"Classement. ~ Arr. du 31 juillet 1928 (UP).
Alignements (non retenus au POS et non repris au PLU). ~ Déc. du 9 décembre 1937 (UP), côté pair, sur une longueur de 29 m environ avant l'avenue Simon Bolivar (A). Arr. du 2 février 1955, côté pair, sur une longueur de 32 m environ avant la partie A (B). Arr. du 31 juillet 1928, le surplus.
Nivellement. ~ Déc. du 9 décembre 1937 (UP), partie A. Arr. du 2 février 1955, partie B.
Ouverture. ~ La partie comprise entre le boulevard de la Villette et le tronçon supprimé de la rue Monjol a été ouverte en 1840.
Dénomination. ~ Arr. du 21 janvier 1935.";XIXe;voie publique;boulevard de la Villette, 88-96.;avenue Simon Bolivar, 93-97.
;7141;Saint-Lambert.;rue;;paul delmet;rue Paul Delmet;7069;Orig. du nom. ~ Paul Delmet (1862-1904), compositeur et chanteur français.;10.0;52.0;"Ouverture. ~ Ouverte en 1906.
Classement, alignements (non retenus au POS et non repris au PLU) et nivellement. ~ Arr. préf. du 10 février 1986.
Dénomination. ~ Voie dénommée en 1907.";XVe;voie publique;rue Vaugelas, 13.;rue Olivier de Serres, 64.
;7199;Saint-Fargeau.;rue;des;pavillons;rue des Pavillons;7142;"Orig. du nom. ~ Faisait partie de l'ancien fief de Maulny, anciennement dénommé le Pavillon.
Historique. ~ Un arr. de déclassement du 25 mai 1970 portant sur une longueur de 50 m environ à partir de la rue Pixérécourt a été annulé par l'arr. mun. du 7 juin 1993. Cette voie est indiquée sur le plan de Roussel (1730).";6.0;123.0;"Classement dans la voirie parisienne. ~ Déc. du 23 mai 1863. Précédemment voie de l'ancienne commune de Belleville.
Classement, alignements (non retenus au POS et non repris au PLU) et nivellement. ~ Arr. mun. du 7 juin 1993.
Numérotage. ~ Arr. du 1er décembre 1881.";XXe;voie publique;rue Pixérécourt, 42 et impasse des Chevaliers, 1.;rue Pelleport, 129 et rue de la Duée, 45.
2001-01-22T01:00:00+01:00;1408;Gare.;rue;des;cadets de la France libre;rue des Cadets de la France Libre;1406;"Historique.~ précédemment voie EG/13, créée dans le cadre de l'aménagement de la ZAC `Paris Rive Gauche`.
Origine du nom.~ En hommage aux 280 jeunes français environ accueillis en Angleterre dans les rangs de l'Ecole Militaire des Cadets de la France Libre entre 1940 et 1944, et dont 55 sont morts pour la France.";4.0;240.0;"Dénomination.~ Arr. mun. du 22 janvier 2001.
Nota.~ Voie privée ouverte à la circulation publique, de la rue Thomas Mann à la rue des Grands Moulins,  par arrêté de Voirie du 8 octobre 2002.";XIIIe;voie privée destinée à devenir publique;rue des Grands Moulins, 44.;rue de Tolbiac, 3.
;X431;Chapelle.;voie;;cd/18;voie CD/18;Y870;;6.0;131.0;;XVIIIe;voie privée;rue du Pré, 9.;en impasse.
2005-05-18T02:00:00+02:00;6252;Odéon. Saint-Germain des Pré.;place;;mehdi ben barka;place Mehdi Ben Barka;6165;Orig. du nom.~ Mehdi Ben Barka (Rabat (Maroc), 1920,  ---), leader charismatique au service des mouvements révolutionnaires du Tiers-Monde. Fondateur de l'Union Nationale des Forces Populaires (U.N.F.P.) marocaines en 1959. Il disparaît au niveau de la brasserie Lipp, à Paris, le 29 octobre 1965.;15.0;20.0;Dénomination.~ Arr. mun. du 18 mai 2005.;VIe;voie publique;intersection de rue du Four et rue Bonaparte.;
;X513;Saint-Fargeau.;voie;;fj/20;voie FJ/20;Y913;historique.~ Voie créée lors de l'aménagement de la ZAC de la Porte des Lilas, supprimant la voie EY/20.;;;;XXe;voie publique;boulevard Périphérique extérieur.;avenue du Docteur Gley, et rue Paul Meurice.
2008-01-30T01:00:00+01:00;7474;Gare.;esplanade;;pierre vidal-naquet;esplanade Pierre Vidal-Naquet;7469;"Historique.~ Voie créée dans le cadre de l'aménagement de la ZAC `Paris Rive Gauche` précédemment dénommée voie FG/13.
Orig. du nom.~ Pierre Vidal-Naquet (Paris, 1930-Nice, 2006), historien.";40.0;140.0;Dénomination.~ Arr. mun. du 30 janvier 2008.;XIIIe;voie privée destinée à devenir publique;quai Panhard et Levassor, 53.;rue Marguerite Duras, 6.
2002-12-17T01:00:00+01:00;4498;Charonne.;villa;des;hautes traverses;villa des Hautes Traverses;4444;"Historique.~ Voie créée dans le cadre de l'aménagement de la Zac `Réunion`. Précédemment dénommée voie FE/20.
Orig. du nom.~Ancien lieu-dit situé sur la commune de Charonne.";8.0;57.0;Dénomination.~ Déc. mun. du 17 décembre 2002.;XXe;voie privée;rue des Haies, 88.;en impasse.
;3621;Halles.;rue;de la;ferronnerie;rue de la Ferronnerie;3634;"Orig. du nom. ~ Saint-Louis avait permis aux ferronniers de s'y établir.
Historique. ~ Dès 1229, c'était la rue de la Ferronnerie ; plus anciennement, rue de la Charronnerie ou des Charrons.";16.6;114.0;"Alignements (non retenus au POS et non repris au PLU). ~ Ord. du 9 décembre 1838, sauf les parties régies par les textes suivants : Déc. du 23 août 1858, raccordement des côtés impair et pair avec la rue Saint-Denis. Déc. du 21 juin 1854, côté impair, sur une longueur de 6,50 m environ avant la rue de la Lingerie. Ce dernier décret avait déclaré d'utilité publique l'acquisition des immeubles 1, 3 et 5 en vue de l'élargissement de la voie.
Numérotage. ~ Arr. du 31 juillet 1874.
Servitude. ~ Des lettres patentes du 18 octobre 1669, partiellement exécutées prévoyaient la construction de maisons d'une architecture obligatoire.";Ier;voie publique;rue Saint-Denis, 41.;rue de la Lingerie, 2-2 bis.
